Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
The Breast Book,"By Stoppard, Miriam","The Breast Book presents a wealth of information, from the anatomy of the breast to its cultural significance and sexual character, from breast feeding and breast self-examination to cosmetic surgery, benign breast changes, and breast cancer. In her uniquely sympathetic style, Dr. Stoppard gives indispensable advice on breast care at all stages of a woman's life - from early menstruation to menopause and beyond - with particular emphasis on the early detection and treatment of breast cancer.Writing with warmth and candor, Dr. Stoppard addresses women's fears, assumptions, and feelings about their breasts. With its expert guidance and up-to-date medical information, including a comprehensive list of relevant organizations and support groups, The Breast Book offers every woman the confidence and knowledge to make informed decisions about the health of her breasts - and to take charge of her body and her life."," Medical , Gynecology & Obstetrics",DK ADULT,10.99,April,1996
100 Questions and Answers About Hypertension,"By Manger, William Muir and Gifford, Ray W","100 Questions and Answers About Hypertension introduces the fundamentals of high blood pressure and the latest drug treatments. The authors, leaders in the National Hypertension Association, have written this helpful introduction so readers can take an active role in their own treatment. This book is a concise guide to the causes of, and latest treatments for hypertension."," Medical , Cardiology",Wiley-Blackwell,5.29,January,2001
Death Be Not Proud (Perennial Classics),"By Gunther, John","Johnny Gunther was only seventeen years old when he died of a brain tumor. During the months of his illness, everyone near him was unforgettably impressed by his level-headed courage, his wit and quiet friendliness, and, above all, his unfaltering patience through times of despair. This deeply moving book is a father's memoir of a brave, intelligent, and spirited boy."," Medical , Pediatrics",Harper Perennial Modern Classics,5.29,August,1998
Feeding Your Child - The Brazelton Way,"By Brazelton, T. Berry and Sparrow, Joshua D., M.D.","Nursing newborns, picky toddlers, four-year-olds with bizarre food preferences-at every age, parents are concerned with what their children eat. In this indispensable, straight-to-the-point guide, Brazelton and Sparrow follow the same approach of the earlier three very successful books in this series. First they apply the Touchpoints philosophy to feeding (watch for the setbacks that often come before a leap of progress), then they follow feeding progress age by age, and finally they deal with the most common issues: breast or bottle, weaning, basic nutritional needs, the over-involved parent, food battles, adolescent overeating, and the roots of eating disorders. Mealtimes can be fun, healthy, family times-the Brazelton Way."," Medical , Pediatrics",Da Capo Lifelong Books,5.29,January,2004
The Brain Has a Mind of Its Own: Insights From a Practicing Neurologist,"By Restak, Richard M.","Neurologist and best-selling author Richard Restak puts readers in touch with the latest scientific findings about the most complex and inscrutable object in creation--the human brain. ""By all means let Richard Restak take you on this lively journey to the very roots of our being. Along the way you will gain new understanding of consciousness, dreams, drugs, emotions, memory loss, and many kindred subjects.""--William WarnerLine drawings.From the Trade Paperback edition."," Medical , Neuroscience",Crown,10.99,October,1991
In Sickness And In W,"By Stevens, Rosemary","A comprehensive history of the American hospital in the twentieth century traces the conflicting visions of the hospital's role--as public institution, private business, social welfare service, and corporation--and explores the crisis ensuing from lack of a cohesive philosophy"," Medical , Hospital Administration & Care",Basic Books,4.99,October,1990
"The Fourteen Friends Guide to Eldercaring: Inspiration, Practical Advice, Shared Experiences, Space to Think (Capital Cares)","By Fourteen Friends (EDT) and Cooper, Joan Hunter (EDT)","The Fourteen Friends who wrote this book have maintained and cherished each other's friendship since high school days in Arlington, Virginia.  They include a neurologist, a psychiatric nurse practitioner, a drug and alcohol counselor, teachers, and small business owners.  Over the years, their conversation and concerns have progressed from boyfriends, husbands, children and careers to caring for their aging parents.  As in the past, they continue to share advice and information along with laughter and tears.    Now, in this very readable guide, they share personal anecdotes and solutions to difficult situations faced in their own caregiving experiences with loved ones.  Each chapter covers a wealth of information and gives helpful tips and resources garnered from their work and research.    Knowing how important it is for a caregiver to reflect and plan, this interactive guide provides you with ample space for observations on a loved one's condition, vital emergency information, appointments, and your own ideas."," Medical , Geriatrics",Capital Books,4.99,July,1999
"Mayo Clinic On Prostate Health: Answers from the World-Renowned Mayo Clinic on Prostate Inflammation, Enlargement, Cancer (Mayo Clinic on Health)","By Barrett, David M. (EDT)","A guide to preventing and treating all forms of prostate disease uses accessible language to reveal the risk factors, the most accurate tests, treatment options, nutritional supplements and herbs, and at-home therapies. Original."," Medical , Oncology , General",Mayo Foundation /Kensington Pub,5.29,March,2000
American Diabetes Association Complete Guide to Diabetes: The Ultimate Home Diabetes Reference,By American Diabetes Association,"Discusses the causes, symptoms, diagnosis, and treatment of diabetes and includes information on nutrition, glucose control, exercise, and complications"," Medical , Endocrinology & Metabolism",Amer Diabetes Assn,6.35,October,1997
Backache: What Exercises Work,"By Sobel, Dava, Jarrett, Lauren (ILT), and Klein, Arthur C.","A complete guide for backache sufferers shares the latest information on the benefits of exercise for preventing and relieving backaches, with self-evaluation checklists, complete instructions, and advice on pain-relieving lifestyle changes."," Medical , Orthopedics",St Martins Pr,5.29,August,1994
Headache Relief,"By Rapoport, Alan M. and Sheftell, Fred D.","Presents information on the latest diagnostic tests and cures for headaches and discusses types of headaches, biofeedback, relaxation techniques, and diet and exercise"," Medical , Pain Medicine",Touchstone,5.29,December,1991
"The Hyperactive Child, Adolescent, and Adult: Attention Deficit Disorder Through the Lifespan","By Wender, Paul H.","Written by a leading child psychiatrist and researcher, this book covers not just excessive activity, but all the symptoms exhibited by ADD patients and demonstrates how the disorder can change with age. Parents, teachers, psychologists, and medical professionals will learn about the causes and characteristics of ADD, how ADD differs from learning disability, where to seek help, the kind and reliability of diagnostic tests, and the different approaches to treatment. A special feature of the book is its coverage of the occurrence of ADD in adults, an area of research previously open only to specialists."," Medical , Immunology",Oxford University Press,5.29,March,1987
Pediatric Nutrition Handbook,"By Kleinman, Ronald E., M.D., American Academy of Pediatrics Committee on Nutrition (COR), and Committee on Nutrition","Intended for practicing clinicians needing a reference guide on the requirements and metabolism of specific nutrients, methods of assessing nutritional status, and the nutrition support of healthy infants and children. This edition is reorganized and expanded to reflect the growth of information in clinical nutrition sciences during the past ten years. One new chapter describes advances in food technology and novel foods or ingredients of the future. Annotation c. by Book News, Inc., Portland, Or."," Medical , Pediatrics",American Academy of Pediatrics,10.99,June,1998
Complete Idiot's Guide to Living with Breast Cancer,"By Sorenson, Sharon and Metzger, Suzanne","This guide is for breast cancer patients, their spouses and children, and their families, co-workers, and friends.  The author hopes to answer the practical, everyday life questions that every breast cancer patient or loved one has.  The book provides information, recommendations, tips, and inspiration for everything from that first biopsy to the five-year check-up."," Medical , Oncology",Alpha,5.52,September,2000
The Functions of Sleep,"By Hartmann, Ernest","This remarkable book brings together vast amounts of information and knowledge about a question that has always captured man’s imagination: Why do we sleep?The author begins with a pungent review of historical and contemporary theories of the functions of sleep and of recent research in sleep deprivation and synchronized (non-dreaming) and desynchronized (dreaming) sleep. Citing his own studies, he investigates the reasons for variable sleep patterns and finds that sleep requirements are influenced by differences in personality, as well as age, life style, and mental state. He then explores the effects on sleep of psychological stress, physical and intellectual activity, and the use of drugs and of other chemicals. The different kinds of tiredness and the role of dreaming in sleep function are also studied. Written clearly enough for the layman to understand, this book is nevertheless a sophisticated theoretical contribution to the literature on sleep. Hartmann combines the rigor of the laboratory scientist with the sensitivity of the clinician. His conclusions offer some fascinating controversial notes on the relationship between the brain and the mind."," Medical , Neuroscience",Yale University Press,6.25,September,1973
How to Avoid Falling: A Guide for Active Aging and Independence,"By Fredrikson, Eric","Staying active without fear of falling.    The danger of falling increases substantially with age. This is especially true in developed countries where aging populations tend toward comfortable, inactive lifestyles.     How to Avoid Falling is a practical, non-technical guide to minimizing the occurrence of falls as well as their devastating effects.    The book recommends taking stock of one's current level of health, physical abilities, ongoing medical concerns and current medication. It covers the risk factors of falling, how to alleviate them, as well as some general practices for living a healthy life.     Exercise is key, especially walking every day. There are fitness and balance exercises that will improve health and a sense of well-being.     Fall-proofing a home is also covered, as is being aware of the best way to            respond to hazardous situations such as icy or slippery conditions.    A final section describes what to do after a fall starting with how to safely get up again, regaining confidence, as well as how to choose canes and walkers."," Medical , Geriatrics",Firefly Books,4.99,October,2004
Pain Remedies: Over 1000 Quick and Easy Pain Remedies from Little Ouches to Big Aches,"By Goldberg, Philip","This book gives you authoritative, practical advice from 149 of the country's top doctors and health professionals. You'll find quick and easy remedies for long-lasting relief from 77 common ailments.If you have chronic pain, Pain Remedies will show you how to get relief naturally - without expensive drugs and their unwanted side effects. You'll tap into the therapeutic powers of time-honored healing techniques such as homeopathy, imagery, massage, and yoga.An A-to-Z reference with hundreds of user-friendly tips, Pain Remedies is a comprehensive resource for pain-free living."," Medical , Pain Medicine",Rodale Pr,5.29,September,1997
Emergency!: True Stories from the Nation's ERs,"By Brown, Mark (EDT)","A real-life portrait of America's emergency rooms presents a collection of life-saving dramas, poignant tragedies, and humorous moments based on the experiences of doctors and nurses from across the country. 75,000 first printing. Tour."," Medical , Emergency Medicine",Villard,5.29,January,1996
The Treatment of Epilepsy: Principles and Practice,"By Wyllie, Elaine","Thoroughly updated, the Fourth Edition of The Treatment of Epilepsy: Principles and Practice remains the most comprehensive single-volume clinical reference on the epilepsies. In one convenient source, the book provides a broad, detailed, and cohesive overview of seizure disorders and contemporary treatment options, bringing together the most vital work in the neurosciences, genetics, electroencephalography, pediatric and adult neurology, neuropharmacology, neurosurgery, and psychiatry.This edition includes a new chapter on the pharmacogenetics of antiepileptic medications, complete information on new drugs, and current guidelines for use of older drugs. Other chapters present fresh new material on epilepsy surgery and neuroimaging."," Medical , Neurology",Williams & Wilkins,6.71,January,1997
Arthritis For Dummies (For Dummies (Computer/Tech)),"By Fox, Barry and Taylor, Nadine","Whether it’s a bit a creaky stiffness in the hip, aching knees that make walking from room to room a chore, or inflammation that settles in several joints, arthritis knocks on just about everyone’s door sooner or later. While there’s no definitive cure for arthritis, there’s no reason for you to spend your days sitting at home in an easy chair. You can take charge of your condition, control your symptoms, and get on with your life through a combination of medical care, simple lifestyle changes, and good old common sense.Arthritis For Dummies is for anyone who suffers from the various forms of arthritis or arthritic symptoms. In this easy-to-understand guide, you’ll discover how to recognize the signs of arthritis, what the major causes are, who is most likely to get it, and what to expect from your doctor. Whether you have osteoarthritis (the most common form), rheumatoid arthritis, infectious arthritis, bursitis, scleroderma, or one of the other forms of the disease, you'll see how to:Choose the right doctor for youRecognize the myths and scamsFight the pain with foods and supplements“Oil” your joints with exerciseControl your stress, aggression, and depressionDetermine whether or not you need surgeryLike the millions of others living with arthritis, you want to take an active part in managing your disease and improving day-to-day living. In this book, you’ll find the most up-to-date information on the latest treatments—from physical therapy and magnets to surgical and homeopathic options—as well as hands-on diet and exercise plans that can help reduce your symptoms. You’ll explore the best-of-the-best of many different healing systems, ranging from standard Western medicine to Eastern healing methods to more unconventional therapies, including:AcupunctureAromatherapyAyurvedic medicineBee venom therapyFolk medicineHerbs and homeopathyHypnotherapyReflexologyFeaturing special sections on preventing arthritis, super foods for fighting symptoms, and ten crackerjack new treatments, as well as a handy weight loss and management guide, Arthritis For Dummies provides the step-by-step guidance you need to control your pain, keep yourself on the move, and improve your overall health and quality of life."," Medical , Rheumatology",For Dummies,5.32,October,2000
Answers to Distraction: The Authors of Driven to Distraction Respond to the Most Frequently Asked Questions About Attention Deficit Disorder,"By Hallowell, Edward M. and Ratey, John J.","In Answers to Distraction, Drs. Hallowell and Ratey respond to the questions their enormous and expanding audience has most often asked them about ADD.The result is a ""user's guide"" to ADD presented in a question-and-answer format ideal for even the most distractable reader. Each chapter covers a specific element of ADD, enabling readers to find quickly the aspect that most concerns them, such as ADD in women, ADD and aggression, or ADD and work. The authors provide advice for teachers on recognizing ADD and helping students cope with it and, in a special section, give easy-to-understand explanations for children and adolescents who have ADD.Accessible, concise, and leavened with humor, Answers to Distraction is an indispensable volume for anyone interested in, or affected by, Attention Deficit Disorder."," Medical , Mental Health",Pantheon,4.99,January,1995
The Homocysteine Revolution: Medicine for the New Millennium,"By McCully, Kilmer S.","A pathologist explains his discovery that vitamin B deficiency can cause the build-up of homocysteine, an amino acid, and lead to heart disease, and offers a diet and exercise plan based on his discovery. Original. 20,000 first printing. $20,000 ad/promo. IP."," Medical , Cardiology",Keats Pub,4.99,June,1997
Twins!,"By Agnew, Connie L., M.D., Klein, Alan H., Ganon, Jill Alison, and Robert, Victor (ILT)","The likelihood of giving birth to twins has shot up from one-in-90 to one-in-40 in recent years, thanks to the escalating use of fertility treatments and the advancing age of first-time mothers. Today, more than 100,000 multiple births take place annually, but despite this astonishing statistic, there hasn't been an authoritative reference that adequately focuses on the unique concerns of the parents until now.   Twins! gives parents comprehensive information on the physical, medical, emotional, and psychological issues involved in having twins. The first part of the book covers the pregnancy, birth, and postpartum experience, and discusses a broad range of twin-specific information such as the epidemiology of twinning, fetal and embryonic development, nutritional needs, and exercise. The second section covers the first year of life, discussing such topics as telling the twins apart, size and energy differences, and how to cope with the extra work.   Additional features include discussions with parents of twins, in which they share their experience on a variety of topics; sidebars filled with fascinating facts; a workbook for recording the pregnancies progress; and several appendices."," Medical , Gynecology & Obstetrics",HarperPb,5.29,September,1997
Immunology: A Short Course,"By Benjamini, Eli and Leskowitz, Sidney (EDT)","This second edition has been revised and expanded to meet the needs of today's medical students. In keeping with the original edition's ``less-is-more'' philosophy, this comprehensive yet concise text now includes coverage of AIDS immunology, T-Cell receptors, interleukins and other growth regulatory cytokines. Chapters feature clear, succinct introductions as well as sample questions and answers that prepare students for the national board examinations. The references have been updated, and the material now incorporates 10% more illustrations."," Medical , Immunology",Wiley-Liss,6.48,May,1991
Emergency Medicine: A Comprehensive Study Guide : American College of Emergency Physicians,"By Tintinalli, Judith E. (EDT), Krome, Ronald L. (EDT), Ruiz, Ernest (EDT), and American College of Emergency Physicians (COR)","The essential emergency medicine reference! Covers the gamut of emergency medicine practice in brief, clinically focused chapters. New to this edition are chapters on bioterroism and weapons of mass destruction, pharmacology of antimicrobials, antifungals, and antivirals, principles of drug interactions, endocarditis, and abdominal and pelvic pain in the non-pregnant patient. Pharmacologic considerations, tables of vital differential diagnoses, and observation criteria throughout are new features reflecting developments in this dynamic specialty.""considered by most in the discipline to be a bible of emergency medicine""--Journal of Family Medicine, review of fourth edition.ENDORSED BY THE AMERICAN COLLEGE OF EMERGENCY PHYSICIANS"," Medical , Emergency Medicine",Mcgraw-Hill (Tx),10.36,October,1991
The Complete Guide to Psychiatric Drugs: Straight Talk for Best Results,"By Drummond, Edward H.","A complete guide to knowing your treatment options and taking control of your therapy If you think you may have a psychiatric problem or if you have been diagnosed with one, this book will help you get the best possible treatment. Written by top expert Edward Drummond, the book arms you with all the information you need to fully understand your treatment options and make informed decisions about the drugs you take. Dr. Drummond separates fact from hype to give you the real, complete story about all the psychiatric drugs currently prescribed. In plain English, he explains how each drug works, which symptoms the drug will improve and which it might not, side effects and how to manage them, precautions that should be taken, and much more. Drawing upon his years of experience helping patients understand their illnesses and take charge of their treatments, Drummond:Explains what is currently known about the causes and cures of virtually all recognized psychiatric disordersDescribes the full range of medications that have been proven effective against themHelps you to determine whether or not you should try medicationProvides guidelines for using medications safely and sensibly and for getting the best results with themExplores dietary treatments, exercise, relaxation techniques, meditation, self-hypnosis, yoga, and other non-drug therapiesExplains how to combine drug, non-drug, and alternative therapies for maximum benefitYour complete guide to choosing and using medication and other treatments for Anxiety ? Panic Attacks ? Agoraphobia ? Obsessive-Compulsive Disorder ? Phobias Posttraumatic Stress Disorder ? Attention Deficit/Hyperactivity Disorder ? Bipolar Disorder Depression ? Autism ? Asperger?s Disorder ? Drug Dependence ? Anorexia ? Bulimia ? Insomnia Psychosis ? Schizophrenia ? Schizoaffective Disorder ? Delusional Disorder ? Alzheimer?s Diseas"," Medical , Endocrinology & Metabolism",Wiley,5.29,April,2000
The Boy Who Loved Windows: Opening The Heart And Mind Of A Child Threatened With Autism,"By Stacey, Patricia","In 1997, writer Patricia Stacey and her husband Cliff learned that their six-month-old son Walker might never walk or talk, or even hear or see. Unwilling to accept this grim prediction, they embarked on a five-year odyssey that took them into alternative medicine, the newest brain research, and toward a new and innovative understanding of autism. Finally their search led them to pioneering developmental psychiatrist Stanley Greenspan who helped them save their son and bring him into full contact with the world. This enthralling memoir, at once heart wrenching and hopeful, takes the reader into the life of one remarkable family willing to do anything to give their son a rich and emotionally full life. We stand witness as they struggle to elicit the first sign that Walker is connecting with them, and share in their fears, struggles, tiny victories, and eventual triumphs. The Boy Who Loved Windows is compelling and inspiring reading for parents and professionals who care for children with autism and other special needs. The book is also a stunning literary debut, of interest to anyone who cares about the lives of children and the passion of families who, against huge odds, put these children first."," Medical , Pediatrics",Da Capo Lifelong Books,5.35,September,2003
Older and Wiser,"By Restak, Richard M.","Packed with specific advice and simple exercises, a groundbreaking guide to the latest scientific research into the effects of aging is designed to help maintain, and increase, brain power at any age. Reprint."," Medical , Mental Health",Berkley Trade,4.99,February,1999
Level 4: Virus Hunters of the CDC,"By Horvitz, Leslie Alan, McCormick, Joseph, and Fisher-Hoch, Susan","Sublimely equipped to survive, to propagate, to conquer, the virus is neither really alive nor really dead. Its dimensions are measured in molecules. It attacks by dismantling its human targets cell by cell.Level 4: Virus Hunters of the CDC is an intense, personal account of more than a quarter-century on the front lines - in the ultra high-tech ""hot zone"" lab that McCormick was instrumental in creating at the Centers for Disease Control headquarters in Atlanta, as well as in the most primitive places on the planet, where the local climate, terrain, and politics can kill just as surely as any disease.Told in intimate detail by two of the world's best-known virologists - colleagues, collaborators, husband and wife - Level 4 is a journey across the world and into many strange new worlds: from the seductive beauty of equatorial Africa - a limitless reservoir of infection - to the confines of the all-but-invisible field of the electron microscope. While other books have offered hot zones, sick monkeys, and grim statistics, Level 4 brings home from the world of the virus the human stories of those who lived, and those who died."," Medical , Epidemiology","Barnes and Noble Books, New York",10.99,January,2015
Radical Healing: Integrating the World's Great Therapeutic Traditions to Create a New Transformative Medicine,"By Ballentine, Rudolph M. and Funk, Linda (ILT)","A leading practitioner of holistic medicine draws on the principles of ayurveda, conscious nutrition, Chinese medicine, body and energy work, homeopathy and cell salts, and flower essences to present a therapeutic approach to healing the mind, body, and spirit. 50,000 first printing. Tour."," Medical , Holistic Medicine",Harmony Books,10.99,January,1999
The Fibromyalgia Help Book: Practical Guide to Living Better with Fibromyalgia,"By Fransen, Jenny and Russell, I. Jon","The most comprehensive and understandable treatise on fibromyalgia that I have had the pleasure to review. It deals in a very practical way with questions I hear in my office every day. I plan to use this book for my patients.—Glenn A. McCain, M.D., Southeast Arthritis Care Center, Charlotte, North Carolina"," Medical , Diseases",UNKNO,5.29,December,1997
Mechanics of the Mind (BBC Reith Lectures; 1976),"By Blakemore, Colin",Reviews in non-technical terms current knowledge about the human brain and includes discussions of the philosophical questions of human consciousness and the evolution of thinking about body and mind," Medical , Neuroscience",Cambridge University Press,5.35,July,1977
Handbook for Mortals: Guidance for People Facing Serious Illness,"By Harrold, Joan K. (EDT), Lynn, Joanne (EDT), and Center to Improve Care of the Dying (COR)","Modern medical technology has changed not only the way we live but also the way we die. Until two generations ago, people usually died suddenly, after an accident or serious illness. Now, most of us may expect our dying to take longer, to require more care, and to demand more forethought than ever before.Handbook for Mortals is warmly addressed to all those who wish to approach the final years of life with greater awareness of what to expect and greater confidence about how to make the end of our lives a time of growth, comfort, and meaningful reflection. Written by Dr. Joanne Lynn and a team of expert physicians, this book provides equal measures of practical information and wise counsel. Readers will learn what decisions they will need to face, what choices are available to them, where to look for help, how to ease pain and other symptoms, what to expect with specific diseases, how the health-care system operates, and how the entire experience affects dying persons, their families, and their friends. Such practical information is indispensable. But equally important are the personal stories included here of how people have come to terms with dying, how they have faced their fears and made their choices. These give us moving firsthand insights into a profoundly important process, one that is increasingly kept hidden in our culture.From down-to-earth advice on how to talk to your doctor to inspiring quotes from such writers as Emily Dickinson, W. H. Auden, Jane Kenyon, and others,Handbook for Mortals encompasses the needs of both the body and the spirit in our final years."," Medical , Critical Care",Oxford University Press,5.47,February,1999
"Mayo Clinic Heart Book, Revised Edition: The Ultimate Guide to Heart Health","By Gersh, Bernard J. (EDT)","Mayo Clinic has the answers people want, as their highly successful books prove--Mayo Clinic Family Health Book has sold more than one million copies worldwide since 1990. Now Mayo introduces a completely revised and updated edition of Mayo Clinic Heart Book. Redesigned for easy access and filled with ""Healthy Heart Tips,"" the book includes the latest information on the prevention, diagnosis, and treatment of cardiovascular disease, the number one killer of women as well as men in our country. Advances in minimally invasive surgeries; the risks and benefits of in-the-news topics such as fish oil and margarine; insights about cardiac disease in women; the controversy surrounding appetite suppressants and heart damage; even new horizons in gene therapy are discussed in full, and much more. Mayo Clinic has the answers people want, as their highly successful books prove--Mayo Clinic Family Health Book has sold more than one million copies worldwide since 1990. Now Mayo introduces a completely revised and updated edition of Mayo Clinic Heart Book. Redesigned for easy access and filled with ""Healthy Heart Tips,"" the book includes the latest information on the prevention, diagnosis, and treatment of cardiovascular disease, the number one killer of women as well as men in our country. Advances in minimally invasive surgeries; the risks and benefits of in-the-news topics such as fish oil and margarine; insights about cardiac disease in women; the controversy surrounding appetite suppressants and heart damage; even new horizons in gene therapy are discussed in full, and much more.Mayo Clinic has the answers people want, as their highly successful books prove--Mayo Clinic Family Health Book has sold more than one million copies worldwide since 1990. Now Mayo introduces a completely revised and updated edition of Mayo Clinic Heart Book. Redesigned for easy access and filled with ""Healthy Heart Tips,"" the book includes the latest information on the prevention, diagnosis, and treatment of cardiovascular disease, the number one killer of women as well as men in our country. Advances in minimally invasive surgeries; the risks and benefits of in-the-news topics such as fish oil and margarine; insights about cardiac disease in women; the controversy surrounding appetite suppressants and heart damage; even new horizons in gene therapy are discussed in full, and much more."," Medical , Reference",William Morrow,10.99,January,2000
A Short History of Medicine,"By Ackerknecht, Erwin Heinz","Since it was first published in 1955, ""A Short History of Medicine• has beenhailed as the best available book of its kind: a concise and readableintroduction to the history of medicine, written for students and professionalsalike. This revised edition of Erwin H. Ackerknecht's classic volume is nowavailable in paperback, making the book especially suitable for classroom use."," Medical , History",Johns Hopkins University Press,5.29,March,1982
Raising the Dead: A Doctor's Encounter with His Own Mortality,"By Selzer, Richard","On a spring afternoon in 1991, Richard Selzer, a retired surgeon and renowned medical essayist, collapsed while gazing from his study window. He was rushed to the hospital where he had practiced for many years, his former colleagues frantically struggling to contain the chaos toward which his body's systems were rampaging. Diagnosed with Legionnaires' disease, Selzer lapsed into a coma and began a painful journey to a place where there was ""more than a hint of death.""Raising the Dead is Selzer's vivid account of that journey - a trip to the underworld of disease, a world whose horrors are eased only by dementia, a place where death is as close as a lover. While his wife, children, doctors, and a gritty, wisecracking Irish nurse hover over him, Selzer suffers through the pain and indignity of medical procedures and the agonizing hallucinations that follow coma. Yet he ""invites the IV pole, the respirator, the whole massive bank of machinery to suggest the background for a story."" This story, the mysterious drama of the struggle between life and death, he relates with great power, elegance, and, surprisingly, wit. Few have been players in this drama and lived to tell about it. Fewer still, if any, can write about it with the intelligence and profundity of Richard Selzer."," Medical , Pathology",Viking Adult,5.29,February,1994
