uniqueid,farmid,Name_Availablity_Code,Telephone_Availablity_Code,address_Availablity_Code,crop_Availablity_Code,email_Availablity_Code,livestock_Availablity_Code,Crops_Name,LiveStock_name,state,city,zipcode,latitude,longitude,Owner_operator_type,rural_flag,total_farm_exact_acres
2988,F11000774862,1,NULL,1,1,NULL,1,,CATTLE,RI,TIVERTON,2878,41.609,71.1735,,1,NULL
3607,F01000425979,NULL,NULL,1,1,NULL,1,,CATTLE,NH,CHESTERFIELD,3443,42.8888,72.4589,,1,5
3613,F11000626960,1,NULL,1,1,1,1,,SHEEP,NH,SWANZEY,3446,42.8618,72.2452,,1,NULL
3669,F00000359400,1,1,1,1,1,1,,SHEEP,NH,WESTMORELAND,3467,42.9687,72.4306,,1,9
4864,F11000129395,NULL,NULL,1,1,NULL,1,"CORN,FORAGE",DAIRY,ME,NORTH TURNER,4266,44.331,70.2557,,NULL,59
4909,F00000967311,1,1,1,1,1,1,"FORAGE,HOME GARDEN",SHEEP,ME,SABATTUS,4280,44.1181,70.0556,,1,20
4940,F11000857458,NULL,NULL,1,1,NULL,1,"CORN,FORAGE",CATTLE,ME,TURNER,4282,44.2578,70.2426,,1,952
5088,F01000135483,1,NULL,1,1,NULL,1,,"DAIRY,SHEEP,CATTLE",ME,KENTS HILL,4349,44.4361,70.0741,,1,3
5100,F00000466250,NULL,NULL,1,1,NULL,1,"FORAGE,GRASS","DAIRY,CATTLE",ME,LITCHFIELD,4350,44.1599,69.9476,,1,480
5216,F00000749290,1,1,1,1,NULL,1,,"GOATS,SHEEP",ME,AURORA,4408,44.9585,68.271,,1,NULL
1838,F40000095052,1,NULL,1,1,1,1,,CATTLE,MA,HYDE PARK,2136,42.2548,71.1282,,NULL,73
2545,F00000149590,1,1,1,1,1,1,,SHEEP,MA,DIGHTON,2715,41.816,71.1517,,1,8
6119,F00000387901,1,1,1,1,1,1,,"GOATS,SHEEP",ME,CARIBOU,4736,46.8928,68.1493,,1,NULL
2639,F00000914590,1,1,1,1,1,1,,SHEEP,MA,NORTH DIGHTON,2764,41.8553,71.1622,,1,5
2746,F00000607521,1,NULL,1,1,NULL,1,,HOG,MA,WESTPORT,2790,41.6022,71.0828,,1,7
3166,F21000881360,1,1,1,1,1,1,,CATTLE,NH,FREMONT,3044,42.979,71.1235,,1,NULL
3339,F11000793885,1,NULL,1,1,NULL,1,FORAGE,CATTLE,NH,CAMPTON,3223,43.8271,71.6455,,1,96
3523,F00000553701,NULL,NULL,1,1,NULL,1,"CORN,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS","DAIRY,CATTLE",NH,SPRINGFIELD,3284,43.4929,72.037,,NULL,224
3815,F90000704899,1,1,1,1,1,1,,"DAIRY,CATTLE",NH,WALPOLE,3608,43.0717,72.4054,,1,4
3937,F11000308786,1,1,1,1,1,1,"CORN,FORAGE",CATTLE,NH,LYME,3768,43.8051,72.1151,,1,9
4322,F00000382900,1,1,1,1,NULL,1,,CATTLE,ME,NORTH BERWICK,3906,43.3315,70.729,,1,6
2652,F00000529801,1,1,1,1,1,1,"CORN,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS,GRASS",DAIRY,MA,REHOBOTH,2769,41.844,71.246,,1,182
2662,F11000946334,1,NULL,1,1,1,1,,SHEEP,MA,REHOBOTH,2769,41.844,71.246,,1,7
3173,F00000674500,1,NULL,1,1,1,1,FORAGE,"SHEEP,CATTLE",NH,GOFFSTOWN,3045,43.0165,71.5582,,1,94
3405,F00000994000,1,NULL,1,1,NULL,1,,SHEEP,NH,LACONIA,3247,43.5478,71.4074,,NULL,7
3626,F11000803595,1,NULL,1,1,NULL,1,,SHEEP,NH,HANCOCK,3449,42.9761,71.9956,,1,NULL
3978,F00000207400,1,1,1,1,1,1,,SHEEP,NH,NORTH HAVERHILL,3774,44.0965,71.991,,1,9
4057,F00000662300,1,NULL,1,1,NULL,1,,SHEEP,NH,SUNAPEE,3782,43.3917,72.0958,,NULL,NULL
4307,F21000533170,1,NULL,1,1,1,1,,"SHEEP,CATTLE",ME,BERWICK,3901,43.3005,70.8434,,1,NULL
4444,F00000364011,1,1,1,1,1,1,,CATTLE,ME,FRYEBURG,4037,44.0478,70.9547,,1,NULL
4778,F11000751159,1,1,1,1,NULL,1,FORAGE,CATTLE,ME,GREENE,4236,44.1916,70.1446,,1,233
440,F90000753519,1,1,1,1,NULL,1,"FORAGE,GRASS",DAIRY,MA,WHEELWRIGHT,1094,42.3517,72.1405,,NULL,96
457,F00000939810,NULL,NULL,1,1,NULL,1,FORAGE,DAIRY,MA,WORTHINGTON,1098,42.3846,72.9405,,NULL,48
522,F11000197710,1,1,1,1,NULL,1,"FORAGE,BARLEY",DAIRY,MA,CHESHIRE,1225,42.5613,73.1573,,1,96
690,F00000031001,1,1,1,1,NULL,1,FORAGE,DAIRY,MA,COLRAIN,1340,42.6891,72.7385,,NULL,96
146,F00000917290,1,NULL,1,1,NULL,1,CORN,DAIRY,MA,GRANVILLE,1034,42.0855,72.9568,,1,46
554,F11000615764,NULL,NULL,1,1,NULL,1,"CORN,FORAGE",DAIRY,MA,LEE,1238,42.2764,73.1899,,1,382
931,F00000355621,NULL,NULL,1,1,NULL,1,,DAIRY,MA,LUNENBURG,1462,42.5909,71.7208,,1,527
1074,F00000818521,NULL,NULL,1,1,NULL,1,"CORN,FORAGE,GRASS","HOG,SHEEP",MA,NORTH GRAFTON,1536,42.2356,71.6898,,1,120
1117,F00000453721,NULL,NULL,1,1,NULL,1,"CORN,FORAGE",DAIRY,MA,SPENCER,1562,42.2477,71.9927,,1,448
950,F00000006721,NULL,NULL,1,1,NULL,1,"CORN,FORAGE,GRASS",DAIRY,MA,TOWNSEND,1469,42.6663,71.6929,,1,186
1071,F11000377364,1,NULL,1,1,NULL,1,,SHEEP,MA,NORTH BROOKFIELD,1535,42.2695,72.0791,,1,6
2027,F00000282721,NULL,NULL,1,1,NULL,1,"CORN,FORAGE,GRASS",DAIRY,MA,EAST BRIDGEWATER,2333,42.035,70.9423,,1,188
2766,F01000296217,1,NULL,1,1,NULL,1,GRASS,DAIRY,MA,WESTPORT,2790,41.6022,71.0828,,1,5
2982,F00000695801,1,1,1,1,NULL,1,FORAGE,DAIRY,RI,TIVERTON,2878,41.609,71.1735,,1,87
3526,F00000186100,1,1,1,1,NULL,1,,"DAIRY,SHEEP,CATTLE",NH,NOTTINGHAM,3290,43.0998,71.1003,,1,NULL
3583,F00000659201,NULL,NULL,1,1,NULL,1,"CORN,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS","SHEEP,CATTLE",NH,LOUDON,3307,43.3083,71.4468,,1,229
4333,F00000937410,1,NULL,1,1,1,1,,CATTLE,ME,SOUTH BERWICK,3908,43.2392,70.747,,NULL,NULL
4518,F00000271250,NULL,NULL,1,1,NULL,1,,CATTLE,ME,LIMERICK,4048,43.7002,70.8015,,NULL,NULL
4870,F21000502520,1,NULL,1,1,NULL,1,,"GOATS,SHEEP",ME,NORWAY,4268,44.2262,70.6028,,1,NULL
5017,F00000305020,1,NULL,1,1,NULL,1,GRASS,"DAIRY,CATTLE",ME,AUGUSTA,4330,44.3261,69.698,,1,189
5147,F00000919801,1,1,1,1,1,1,"CORN,GRAIN,OATS,FORAGE,GRAIN PLUS","DAIRY,CATTLE",ME,RICHMOND,4357,44.1233,69.8291,,1,443
5267,F00000917610,1,NULL,1,1,NULL,1,"CORN,FORAGE,GRASS",CATTLE,ME,CHARLESTON,4422,45.0695,69.0854,,1,109
5432,F11000046668,1,1,1,1,NULL,1,,CATTLE,ME,HAMPDEN,4444,44.7323,68.9137,,1,NULL
5641,F90000368849,NULL,NULL,1,1,NULL,1,"FORAGE,BERRIES,GRASS,HOME GARDEN",CATTLE,ME,WISCASSET,4578,44.0333,69.6727,,1,11
2605,F00000112801,1,NULL,1,1,NULL,1,,DAIRY,MA,NEW BEDFORD,2744,41.6093,70.913,,NULL,6
2742,F90000602738,1,NULL,1,1,NULL,1,,"DAIRY,GOATS,CATTLE",MA,WESTPORT,2790,41.6022,71.0828,,1,8
3148,F01000455632,1,1,1,1,1,1,"FORAGE,BARLEY",SHEEP,NH,GILMANTON IRON WORKS,3837,43.4321,71.3396,,1,23
3363,F01000912331,NULL,NULL,1,1,NULL,1,"CORN,FORAGE",CATTLE,NH,CONTOOCOOK,3229,43.2205,71.6996,,1,225
3437,F11000370968,1,1,1,NULL,1,1,,GOATS,NH,NEW HAMPTON,3256,43.6234,71.6325,,1,NULL
3674,F11000144554,1,1,1,1,1,1,,SHEEP,NH,WESTMORELAND,3467,42.9687,72.4306,,1,7
3905,F00000337920,1,1,1,1,NULL,1,,CATTLE,NH,SPRINGFIELD,3284,43.4929,72.037,,NULL,NULL
2830,F00000976811,1,1,1,1,1,1,"CORN,FORAGE","DAIRY,CATTLE",RI,EAST GREENWICH,2818,41.6429,71.4939,,1,40
3554,F11000507999,1,1,1,1,NULL,1,"CORN,FORAGE",CATTLE,NH,CONCORD,3303,43.3208,71.6638,,1,222
4228,F21000622620,NULL,NULL,1,1,NULL,1,FORAGE,CATTLE,NH,LEE,3861,43.1192,70.9969,,1,243
4253,F90000324464,1,1,1,1,1,1,"CORN,FORAGE",CATTLE,NH,ROLLINSFORD,3869,43.2211,70.8405,,1,137
4457,F60000511121,1,1,1,1,NULL,1,,CATTLE,ME,GORHAM,4038,43.6907,70.4722,,1,6
4616,F21000032330,1,1,1,1,1,1,,CATTLE,ME,WATERFORD,4088,44.1786,70.7164,,1,NULL
4919,F00000295110,1,1,1,1,NULL,1,,"DAIRY,GOATS,CATTLE",ME,SABATTUS,4280,44.1181,70.0556,,1,8
7,F30000968666,NULL,NULL,1,1,NULL,NULL,,NULL,MA,AMHERST,1002,42.3773,72.4671,,1,NULL
21,F00000515490,1,NULL,1,1,NULL,NULL,,NULL,MA,AMHERST,1002,42.3773,72.4671,,NULL,NULL
30,F11000824383,NULL,NULL,1,1,NULL,1,,SHEEP,MA,AMHERST,1002,42.3773,72.4671,,NULL,8
37,F01000858279,1,NULL,1,1,NULL,NULL,WHEAT,NULL,MA,AMHERST,1002,42.3773,72.4671,,1,NULL
67,F31000649602,1,NULL,1,1,NULL,NULL,"ORGANIC FARMERS,BARLEY",NULL,MA,BELCHERTOWN,1007,42.2771,72.4022,,1,NULL
78,F11000103859,1,1,1,1,1,1,FORAGE,DAIRY,MA,CHESTER,1011,42.2802,72.999,,1,243
106,F11000465651,NULL,NULL,1,1,NULL,NULL,TOBACCO,NULL,MA,EASTHAMPTON,1027,42.2952,72.7431,,NULL,NULL
4843,F00000525411,1,NULL,1,1,NULL,1,BARLEY,CATTLE,ME,MONMOUTH,4259,44.2158,70.0255,,1,NULL
11,F20000805573,1,NULL,1,1,NULL,NULL,"SOYBEAN,FORAGE",NULL,MA,AMHERST,1002,42.3773,72.4671,,1,NULL
23,F60000302654,1,1,1,1,1,NULL,"WHEAT,FORAGE,GRASS,BARLEY",NULL,MA,AMHERST,1002,42.3773,72.4671,,1,418
31,F00000405801,1,NULL,1,1,1,NULL,FORAGE,NULL,MA,AMHERST,1002,42.3773,72.4671,,NULL,NULL
40,F01000345639,NULL,NULL,1,1,NULL,NULL,CORN,NULL,MA,AMHERST,1002,42.3773,72.4671,,1,NULL
69,F00000898721,NULL,NULL,1,1,NULL,NULL,"CORN,FORAGE",NULL,MA,BRIMFIELD,1010,42.1143,72.1854,,1,48
79,F01000457759,1,1,1,1,NULL,NULL,BERRIES,NULL,MA,CHESTER,1011,42.2802,72.999,,1,23
109,F10000609689,1,NULL,1,1,NULL,NULL,,NULL,MA,EASTHAMPTON,1027,42.2952,72.7431,,NULL,NULL
122,F90000356001,NULL,NULL,1,1,NULL,NULL,"CORN,SOYBEAN,APPLE",NULL,MA,EAST OTIS,1029,42.1613,73.0508,,NULL,134
126,F21000725633,1,1,1,1,1,NULL,WHEAT,NULL,MA,FEEDING HILLS,1030,42.0669,72.6778,,1,NULL
170,F90000610474,1,1,1,1,1,NULL,,NULL,MA,HADLEY,1035,42.3561,72.5677,,1,NULL
181,F00000627511,1,NULL,1,1,NULL,NULL,"CORN,GRAIN,FORAGE,FRUITING AND FLOWERING VEGETABLE,TOBACCO,MELONS,GRAIN PLUS",NULL,MA,BELCHERTOWN,1007,42.2771,72.4022,,1,32
207,F00000310990,1,1,1,1,NULL,NULL,"FRUITING AND FLOWERING VEGETABLE,PODDED VEGETABLES,TOBACCO,MELONS,BARLEY",NULL,MA,HADLEY,1035,42.3561,72.5677,,1,NULL
250,F00000367721,NULL,NULL,1,1,NULL,NULL,"CORN,GRAIN,ROOTS TUBEROUS VEGETABLES,FORAGE,FRUITING AND FLOWERING VEGETABLE,TOBACCO,BRASSICAS VEGETABLES,MELONS,GRAIN PLUS",NULL,MA,HATFIELD,1038,42.3856,72.6078,,NULL,1773
258,F00000889190,1,1,1,1,NULL,NULL,"ROOTS TUBEROUS VEGETABLES,FORAGE,BULB AND STEM VEGETABLES,TOBACCO,HOME GARDEN",NULL,MA,HATFIELD,1038,42.3856,72.6078,,1,84
276,F00000370711,1,NULL,1,1,1,NULL,FORAGE,NULL,MA,HAYDENVILLE,1039,42.4048,72.6898,,1,23
331,F00000430821,NULL,NULL,1,1,NULL,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,BULB AND STEM VEGETABLES,TOBACCO,MELONS,HOME GARDEN",NULL,MA,NORTH HATFIELD,1066,42.4107,72.6253,,NULL,195
337,F00000610073,1,1,1,1,NULL,NULL,"FORAGE,GRASS",NULL,MA,OAKHAM,1068,42.35,72.0468,,1,48
350,F00000734290,NULL,NULL,1,1,NULL,NULL,CORN,NULL,MA,SHUTESBURY,1072,42.4779,72.4152,,1,432
360,F11000875667,NULL,NULL,1,1,NULL,NULL,POTATO,NULL,MA,SOUTHAMPTON,1073,42.231,72.7376,,1,NULL
385,F00000996890,1,NULL,1,1,NULL,NULL,"CORN,FRUITING AND FLOWERING VEGETABLE,MELONS,BARLEY",NULL,MA,SOUTHWICK,1077,42.055,72.7789,,1,46
400,F00000227990,1,1,1,1,NULL,NULL,"FORAGE,FRUITING AND FLOWERING VEGETABLE,TREE FRUIT,MELONS",NULL,MA,WARE,1082,42.2735,72.2794,,1,381
418,F00000163331,1,1,1,1,NULL,NULL,"GRAIN,FORAGE,TOBACCO,GRAIN PLUS",NULL,MA,WESTFIELD,1085,42.1558,72.7734,,NULL,56
427,F21000504692,1,1,1,1,1,NULL,WHEAT,NULL,MA,WESTFIELD,1085,42.1558,72.7734,,1,NULL
443,F01000970024,1,1,1,1,NULL,NULL,,NULL,MA,WILBRAHAM,1095,42.1269,72.4307,,NULL,NULL
461,F31000501012,1,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,SPRINGFIELD,1104,42.1337,72.5666,,NULL,NULL
475,F30000503804,1,1,1,1,1,NULL,SOYBEAN,NULL,MA,SPRINGFIELD,1109,42.1176,72.5486,,NULL,NULL
493,F21000127360,1,1,1,1,1,NULL,,NULL,MA,SPRINGFIELD,1119,42.1247,72.5112,,NULL,NULL
511,F21000617720,1,1,1,1,1,NULL,NUTS,NULL,MA,LOWELL,1854,42.6505,71.3545,,NULL,NULL
523,F21000593692,1,1,1,1,1,1,BARLEY,DAIRY,MA,CHESHIRE,1225,42.5613,73.1573,,1,NULL
533,F11000415104,NULL,NULL,1,1,NULL,NULL,,NULL,MA,GREAT BARRINGTON,1230,42.1779,73.3332,,1,3
577,F11000241011,NULL,NULL,1,1,NULL,NULL,"CORN,GRAIN,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,BULB AND STEM VEGETABLES,MELONS,GRAIN PLUS",NULL,MA,SHEFFIELD,1257,42.0893,73.3727,,1,326
607,F00000049721,NULL,NULL,1,1,NULL,NULL,FORAGE,NULL,MA,GREENFIELD,1301,42.629,72.6062,,1,23
624,F31000070012,1,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,GREENFIELD,1301,42.629,72.6062,,NULL,NULL
651,F00000326211,1,1,1,1,NULL,1,,SHEEP,MA,ATHOL,1331,42.617,72.1846,,NULL,9
674,F31000046002,1,1,1,1,1,NULL,ORGANIC FARMERS,NULL,MA,CHARLEMONT,1339,42.6103,72.8956,,1,NULL
691,F00000907572,1,1,1,1,1,1,"GRASS,BARLEY",SHEEP,MA,COLRAIN,1340,42.6891,72.7385,,1,19
703,F00000355490,1,1,1,1,1,NULL,,NULL,MA,CONWAY,1341,42.5066,72.7087,,1,NULL
721,F11000301953,1,1,1,1,NULL,NULL,"FORAGE,BERRIES",NULL,MA,GREENFIELD,1301,42.629,72.6062,,NULL,64
735,F01000883645,1,NULL,1,1,1,NULL,,NULL,MA,GILL,1354,42.6787,72.4874,,1,NULL
762,F00000863504,1,NULL,1,1,NULL,NULL,SOYBEAN,NULL,MA,ROYALSTON,1368,42.6704,72.197,,NULL,NULL
15,F00000178131,NULL,NULL,1,1,NULL,NULL,FORAGE,NULL,MA,AMHERST,1002,42.3773,72.4671,,NULL,23
38,F01000632642,NULL,NULL,1,1,NULL,NULL,ALFALFA,NULL,MA,AMHERST,1002,42.3773,72.4671,,1,48
120,F01000219219,NULL,NULL,1,1,NULL,NULL,TOBACCO,NULL,MA,EAST LONGMEADOW,1028,42.0595,72.4991,,1,75
125,F11000293372,NULL,NULL,1,1,NULL,NULL,"CORN,FRUITING AND FLOWERING VEGETABLE,BRASSICAS VEGETABLES,MELONS",NULL,MA,FEEDING HILLS,1030,42.0669,72.6778,,NULL,41
159,F21000522233,1,1,1,1,1,NULL,OATS,NULL,MD,WILLIAMSPORT,21795,39.569,77.8139,,1,NULL
175,F31000614402,1,1,1,1,1,NULL,ORGANIC FARMERS,NULL,MA,HADLEY,1035,42.3561,72.5677,,1,NULL
193,F31000604902,1,1,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,HADLEY,1035,42.3561,72.5677,,1,NULL
225,F01000872231,1,1,1,1,1,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,FORAGE,FRUITING AND FLOWERING VEGETABLE,BULB AND STEM VEGETABLES,TOBACCO,BRASSICAS VEGETABLES,MELONS,HOME GARDEN",NULL,MA,HADLEY,1035,42.3561,72.5677,,1,94
248,F31000270012,NULL,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,HARDWICK,1037,42.3503,72.2001,,NULL,NULL
256,F11000842425,NULL,NULL,1,1,NULL,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,FORAGE,FRUITING AND FLOWERING VEGETABLE,BULB AND STEM VEGETABLES,TOBACCO,BRASSICAS VEGETABLES,MELONS,HOME GARDEN",NULL,MA,HATFIELD,1038,42.3856,72.6078,,1,36
268,F00000579101,1,1,1,1,1,NULL,"FRUITING AND FLOWERING VEGETABLE,MELONS",NULL,MA,HATFIELD,1038,42.3856,72.6078,,1,NULL
312,F01000311818,1,NULL,1,1,1,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,FRUITING AND FLOWERING VEGETABLE,MELONS",NULL,MA,NORTHAMPTON,1060,42.3296,72.6251,,NULL,21
336,F00000391990,1,1,1,1,1,NULL,CORN,NULL,MA,OAKHAM,1068,42.35,72.0468,,1,NULL
345,F00000656721,1,NULL,1,1,NULL,NULL,"CORN,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS",NULL,MA,PALMER,1069,42.1774,72.2801,,NULL,100
358,F00000721601,1,1,1,1,1,NULL,"CORN,FORAGE",NULL,MA,SOUTHAMPTON,1073,42.231,72.7376,,1,63
383,F00000036131,1,1,1,1,NULL,NULL,"FORAGE,FRUITING AND FLOWERING VEGETABLE,TOBACCO,MELONS",NULL,MA,SOUTHWICK,1077,42.055,72.7789,,1,81
396,F11000160942,1,1,1,1,NULL,NULL,,NULL,MA,WALES,1081,42.0621,72.2143,,1,8
414,F00000442601,1,1,1,1,NULL,NULL,FORAGE,NULL,MA,SOUTHWICK,1077,42.055,72.7789,,1,96
426,F11000426019,NULL,NULL,1,1,NULL,NULL,"TREE FRUIT,TREES,BARLEY",NULL,MA,WESTFIELD,1085,42.1558,72.7734,,NULL,3
468,F01000748526,NULL,NULL,1,1,NULL,NULL,OATS,NULL,MA,LONGMEADOW,1106,42.0487,72.5696,,NULL,NULL
487,F11000649001,1,1,1,1,1,NULL,HONEY,NULL,MA,SPRINGFIELD,1109,42.1176,72.5486,,NULL,NULL
508,F70000969807,1,1,1,1,1,NULL,SOYBEAN,NULL,MA,PITTSFIELD,1201,42.4608,73.282,,NULL,9
527,F21000684772,1,1,1,1,NULL,NULL,OATS,NULL,MA,CHESHIRE,1225,42.5613,73.1573,,1,NULL
547,F00000677621,NULL,NULL,1,1,NULL,NULL,"CORN,OATS,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,MELONS,TREES,GRASS",NULL,MA,HANCOCK,1237,42.5714,73.2564,,NULL,462
566,F11000495204,1,1,1,1,1,NULL,SOYBEAN,NULL,MA,OTIS,1253,42.2038,73.0917,,NULL,NULL
576,F31000661680,NULL,NULL,1,1,NULL,1,"CORN,OATS,FORAGE",DAIRY,MA,SHEFFIELD,1257,42.0893,73.3727,,1,828
588,F00000444501,1,1,1,1,1,1,"CORN,OATS,FORAGE",DAIRY,MA,WEST STOCKBRIDGE,1266,42.3124,73.388,,1,195
622,F00000215401,1,1,1,1,NULL,1,"CORN,GRASS",DAIRY,MA,GREENFIELD,1301,42.629,72.6062,,1,131
630,F00000810301,1,NULL,1,1,1,NULL,FORAGE,NULL,MA,ASHFIELD,1330,42.5227,72.8242,,1,219
648,F11000987668,NULL,NULL,1,1,NULL,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,BERRIES,FRUITING AND FLOWERING VEGETABLE,TREE FRUIT,MELONS,GRASS",NULL,MA,ATHOL,1331,42.617,72.1846,,1,51
672,F00000933721,NULL,NULL,1,1,NULL,NULL,,NULL,MA,CHARLEMONT,1339,42.6103,72.8956,,1,3
700,F01000094798,NULL,NULL,1,1,NULL,NULL,"TOBACCO,BARLEY",NULL,MA,CONWAY,1341,42.5066,72.7087,,1,9
719,F00000215501,1,1,1,1,1,1,BARLEY,SHEEP,MA,HEATH,1346,42.6791,72.84,,NULL,5
733,F31000090012,1,1,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,MONTAGUE,1351,42.5391,72.5186,,NULL,NULL
759,F00000307401,1,NULL,1,1,NULL,1,,SHEEP,MA,PETERSHAM,1366,42.4757,72.2015,,1,8
8,F80000419912,1,NULL,1,1,NULL,NULL,"WHEAT,FORAGE,GRASS",NULL,MA,AMHERST,1002,42.3773,72.4671,,NULL,128
26,F21000357677,1,1,1,1,1,NULL,,NULL,MA,AMHERST,1002,42.3773,72.4671,,1,5
52,F00000972511,1,1,1,1,NULL,1,APPLE,DAIRY,MA,BARRE,1005,42.4202,72.106,,1,214
72,F01000638370,NULL,NULL,1,1,NULL,NULL,"FORAGE,BERRIES,TREE FRUIT,APPLE",NULL,MA,BRIMFIELD,1010,42.1143,72.1854,,1,30
90,F21000510804,1,1,1,1,1,NULL,CORN,NULL,MA,CUMMINGTON,1026,42.4538,72.924,,1,NULL
103,F00000616490,1,1,1,1,NULL,NULL,FORAGE,NULL,MA,EASTHAMPTON,1027,42.2952,72.7431,,NULL,48
132,F01000089137,1,1,1,1,NULL,NULL,"CORN,FORAGE,BARLEY",NULL,MA,GILBERTVILLE,1031,42.3533,72.2125,,1,134
161,F00000733621,NULL,NULL,1,1,NULL,1,"CORN,WHEAT,GRAIN,ROOTS TUBEROUS VEGETABLES,FORAGE,BULB AND STEM VEGETABLES,BRASSICAS VEGETABLES,GRAIN PLUS,BARLEY",SHEEP,MA,HADLEY,1035,42.3561,72.5677,,1,183
62,F21000622233,1,NULL,1,1,1,NULL,CORN,NULL,MA,BELCHERTOWN,1007,42.2839,72.4004,,1,NULL
74,F21000074250,NULL,NULL,1,1,NULL,NULL,,NULL,MA,BRIMFIELD,1010,42.1143,72.1854,,1,NULL
91,F01000286329,1,1,1,1,NULL,NULL,"CORN,WHEAT",NULL,MA,CUMMINGTON,1026,42.4538,72.924,,1,5
115,F31000880102,NULL,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,EASTHAMPTON,1027,42.2952,72.7431,,NULL,NULL
133,F00000794721,NULL,NULL,1,1,NULL,NULL,,NULL,MA,GILBERTVILLE,1031,42.3533,72.2125,,1,9
150,F00000334721,NULL,NULL,1,1,NULL,NULL,BARLEY,NULL,MA,GRANVILLE,1034,42.0855,72.9568,,1,NULL
174,F00000368301,1,1,1,1,1,NULL,"FRUITING AND FLOWERING VEGETABLE,MELONS",NULL,MA,HADLEY,1035,42.3561,72.5677,,1,NULL
194,F90000177264,NULL,NULL,1,1,NULL,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,BULB AND STEM VEGETABLES,TOBACCO,MELONS",NULL,MA,HADLEY,1035,42.3561,72.5677,,1,389
219,F90000243519,1,1,1,1,1,NULL,FORAGE,NULL,MA,HADLEY,1035,42.3561,72.5677,,1,48
239,F11000770085,1,1,1,1,1,NULL,SOYBEAN,NULL,MA,NORTHAMPTON,1060,42.3296,72.6251,,NULL,NULL
